Plate,Well,F0,Fmax,DFF
M0024,F03,2208,9376,3.246376812
M0024,F04,6366,9875,0.551209551
M0024,F05,397,1606,3.04534005
M0024,F06,4004,7265,0.814435564
M0024,F07,2607,4336,0.663214423
M0024,F08,1197,5432,3.538011696
M0024,F09,6284,9527,0.516072565
M0024,F10,2734,5883,1.151792246
M0024,F11,8120,11636,0.433004926
M0024,F12,8779,14803,0.686182937
M0024,G01,4053,17808,3.393782383
M0024,G02,4439,14780,2.329578734
M0024,G03,1562,6968,3.460947503
M0024,G04,14525,19413,0.336523236
M0024,G05,1899,9668,4.091100579
M0024,G06,3088,9095,1.945272021
M0024,G07,4849,7794,0.60734172
M0024,G08,1661,7917,3.76640578
M0024,G09,1062,4131,2.889830508
M0024,G10,562,4199,6.471530249
M0024,G11,660,5846,7.857575758
M0024,G12,5884,7360,0.250849762
M0024,H01,1819,5876,2.230346344
M0024,H02,1364,12125,7.889296188
M0024,H03,338,4124,11.20118343
M0024,H04,13440,18415,0.37016369
M0024,H05,3998,14029,2.509004502
M0024,H06,841,8405,8.994054697
M0024,H07,3545,11181,2.154019746
M0024,H08,2399,8332,2.473113797
M0024,H09,3957,8393,1.121051301
M0024,H10,9459,12795,0.352679987
M0024,H11,1044,8057,6.71743295
M0024,H12,3503,9703,1.769911504
M0025,A01,12737,16386,0.286488184
M0025,A02,1562,11085,6.096670935
M0025,A03,21207,22787,0.074503702
M0025,A04,12009,23221,0.933633109
M0025,A05,22808,26817,0.175771659
M0025,A06,12021,20264,0.685716663
M0025,A07,1504,7331,3.874335106
M0025,A08,1492,10007,5.707104558
M0025,A09,11742,20134,0.71469937
M0025,A10,13867,18815,0.356818346
M0025,A11,3143,9288,1.955138403
M0025,A12,10466,17830,0.703611695
M0025,B01,7708,10092,0.30928905
M0025,B02,8834,18949,1.145007924
M0025,B03,14143,15862,0.121544227
M0025,B04,3258,6129,0.88121547
M0025,B05,19577,26552,0.356285437
M0025,B06,3850,9615,1.497402597
M0025,B07,7437,13562,0.823584779
M0025,B08,1977,8511,3.305007587
M0025,B09,753,4720,5.268260292
M0025,B10,2915,7807,1.678216123
M0025,B11,3476,9253,1.661967779
M0025,B12,6392,11826,0.850125156
M0025,C01,8175,10352,0.266299694
M0025,C02,4058,9856,1.428782652
M0025,C03,2698,9264,2.433654559
M0025,C04,10550,17519,0.66056872
M0025,C05,4170,6799,0.630455635
M0025,C06,3545,9286,1.619464034
M0025,C07,16667,17902,0.074098518
M0025,C08,9450,12924,0.367619048
M0025,C09,1081,5371,3.968547641
M0025,C10,2196,4426,1.015482696
M0025,C11,1041,2111,1.027857829
M0025,C12,8806,15163,0.721894163
M0025,D01,22062,24380,0.105067537
M0025,D02,389,547,0.406169666
M0025,D03,1873,11577,5.180993059
M0025,D04,3629,7841,1.160650317
M0025,D05,774,2719,2.512919897
M0025,D06,4496,5086,0.131227758
M0025,D07,2074,7539,2.635004822
M0025,D08,253,983,2.885375494
M0025,D09,616,3490,4.665584416
M0025,D10,2532,6604,1.60821485
M0025,D11,11542,16700,0.446889621
M0025,D12,9290,16065,0.729278794
M0025,E01,19177,21494,0.120821818
M0025,E02,2087,3016,0.44513656
M0025,E03,19348,21892,0.131486459
M0025,E04,2798,5856,1.092923517
M0025,E05,1028,4275,3.158560311
M0025,E06,7985,10436,0.306950532
M0025,E07,2385,6514,1.731236897
M0025,E08,5272,8554,0.622534143
M0025,E09,1041,5640,4.417867435
M0025,E10,1101,3898,2.540417802
M0025,E11,6135,6950,0.132844336
M0025,E12,1407,7748,4.506751955
M0025,F01,1577,8488,4.382371592
M0025,F02,750,1121,0.494666667
M0025,F03,2380,7835,2.292016807
M0025,F04,964,6752,6.004149378
M0025,F05,499,1787,2.581162325
M0025,F06,12277,15668,0.276207543
M0025,F07,12685,14037,0.106582578
M0025,F08,6822,10759,0.577103489
M0025,F09,2197,4913,1.236231224
M0025,F10,372,1575,3.233870968
M0025,F11,7850,13130,0.672611465
M0025,F12,15202,17951,0.18083147
M0025,G01,2080,12357,4.940865385
M0025,G02,5387,7372,0.368479673
M0025,G03,5749,9045,0.573317099
M0025,G04,8208,10875,0.324926901
M0025,G05,4062,7599,0.870753323
M0025,G06,10456,13727,0.312834736
M0025,G07,15572,20766,0.333547393
M0025,G08,5268,9923,0.883637054
M0025,G09,4104,7414,0.806530214
M0025,G10,4715,11894,1.522587487
M0025,G11,12465,13709,0.099799438
M0025,G12,11174,19379,0.734293897
M0025,H01,3310,14244,3.303323263
M0025,H02,112,1089,8.723214286
M0025,H03,12999,22345,0.718978383
M0025,H04,428,1920,3.485981308
M0025,H05,15612,22964,0.470919805
M0025,H06,9870,13327,0.350253293
M0025,H07,2883,13291,3.610128339
M0025,H08,738,6655,8.017615176
M0025,H09,345,3602,9.44057971
M0025,H10,5838,14442,1.473792395
M0025,H11,13533,23866,0.763540974
M0025,H12,18734,20066,0.071100673
M0026,A01,11159,14742,0.321086119
M0026,A02,15932,26687,0.67505649
M0026,A03,6874,15383,1.237852779
M0026,A04,800,2824,2.53
M0026,A05,5934,14625,1.464610718
M0026,A06,2421,8634,2.566294919
M0026,A07,1948,12159,5.241786448
M0026,A08,4759,9848,1.069342299
M0026,A09,2663,7511,1.820503192
M0026,A10,4401,6265,0.423540105
M0026,A11,2309,3600,0.559116501
M0026,A12,1138,10322,8.07029877
M0026,B01,5004,7995,0.597721823
M0026,B02,9511,14213,0.494374934
M0026,B03,213,2334,9.957746479
M0026,B04,755,3851,4.100662252
M0026,B05,1914,3011,0.573145246
M0026,B06,259,2559,8.88030888
M0026,B07,5759,7846,0.362389304
